"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"mission beach","hamlet","13","""Mission Beach, San Diego County, California, United States of America""","","-117.2525056","32.7827144","130","""anaheim_and_carlsbad.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_monterey.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,bakersfield_and_riverside.json,bakersfield_and_san diego.json,bakersfield_and_temecula.json,berkeley_and_newport beach.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,berkeley_and_huntington beach.json,beverly hills_and_temecula.json,big bear lake_and_san luis obispo.json,carlsbad_and_long beach.json,carlsbad_and_newport beach.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa clarita.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_san diego.json,fresno_and_santa clarita.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_stockton.json,irvine_and_malibu.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_malibu.json,long beach_and_malibu.json,los angeles_and_pismo beach.json,los angeles_and_san diego.json,los angeles_and_san jose.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa ana.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_stockton.json,monterey_and_san diego.json,napa_and_newport beach.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,newport beach_and_stockton.json,pasadena_and_pismo beach.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_santa ana.json,pismo beach_and_santa monica.json,riverside_and_sacramento.json,riverside_and_san diego.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_santa barbara.json,newport beach_and_pismo beach.json,san jose_and_santa monica.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa cruz_and_santa monica.json,santa monica_and_stockton.json""","Mission Beach","""Neighborhood: Mission Beach Beaches , Nature & Parks , Outdoor Activities""","I walked over to Mission Beach from our hotel and was really glad I did. I really like having Pacific beach and Mission Beach connected by a long public walkway. While you will... read more","25","""1,469""","","San Diego","""San Diego , CA 92109""","92109","-117.2169009","32.803812","https://www.tripadvisor.com/Attraction_Review-g60750-d104125-Reviews-Mission_Beach-San_Diego_California.html","san_diego.json","""wHyp-6OcyEE,5QqDgtwEQsI,agaWKX1ilJU""","100"
"cabrillo beach","beach","1","""Cabrillo Beach, Shoshonean Road, San Pedro, LA, Los Angeles County, California, 90734, United States of America""","90734","-118.279562001954","33.7087152","11","""carlsbad_and_pismo beach.json,huntington beach_and_long beach.json,huntington beach_and_monterey.json,huntington beach_and_pismo beach.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,huntington beach_and_malibu.json,malibu_and_pismo beach.json,newport beach_and_santa barbara.json,pismo beach_and_santa monica.json""","Cabrillo Beach","","""As a first time visitor of Cali, I had high expectations for the beaches and Cabrillo exceeded them! I was there at night, and even then, it was pretty serene and beautiful. The... read more""","150","27","","Los Angeles","""3720 Stephen M. White Dr , Los Angeles , CA""","","-118.285340041418","33.71125925","https://www.tripadvisor.com/Attraction_Review-g32655-d255305-Reviews-Cabrillo_Beach-Los_Angeles_California.html","los_angeles.json","""Io04AwjoKks,c6RKIxdDfBI,by5jrW_et80""","100"
"monterey market","supermarket","1","""Monterey Market, 1550, Hopkins Street, Westbrae, Berkeley, Alameda County, California, 94707, United States of America""","94707","-122.282224452192","37.88112935","1","berkeley_and_sacramento.json","Monterey Market","","""One of the things that I miss the most-- since I and my wife and son moved from Berkeley--is our regular shopping trips to Monterey Market. The variety of vegetables, herbs, and... read more""","18","16","510-526- 6042","Berkeley","""1550 Hopkins St , Berkeley , CA 94707-2711""","94707","","","https://www.tripadvisor.com/Attraction_Review-g32066-d9883114-Reviews-Monterey_Market-Berkeley_California.html","berkeley.json","""kDYaozlNFiA,QoeMSdZjGrQ,inLSFN7AJpE""","100"
"alum rock park","park","2","""Alum Rock Park, North Rim Trail, Alum Rock, San Jos��, Santa Clara County, California, 95127, United States of America""","95127","-121.803228213732","37.39869235","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json""","Alum Rock Park","Nature & Parks","If you've never been to Alum Rock Park -- DO IT! Even if you're a Santa Cruz Mountain snob -- these hills and trails (while a bit drier and different vegetation) will not... read more","14","98","+1 408-259-5477","San Jose","""16240 Alum Rock Ave , San Jose , CA 95127-1307""","16240","","","https://www.tripadvisor.com/Attraction_Review-g33020-d561235-Reviews-Alum_Rock_Park-San_Jose_California.html","san_jose.json","""I5VMhUMYYjg,2Zjhu4wPOXs,HzNipz7JZ60""","100"
"san diego botanic garden","garden","4","""San Diego Botanic Garden, Pacific View Lane, Encinitas, San Diego County, California, 92024, United States of America""","92024","-117.281085005264","33.053482","26","""anaheim_and_berkeley.json,anaheim_and_carlsbad.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,bakersfield_and_carlsbad.json,berkeley_and_san diego.json,berkeley_and_carlsbad.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_malibu.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san diego.json,carlsbad_and_santa barbara.json,carlsbad_and_stockton.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san diego_and_san jose.json,san luis obispo_and_santa clarita.json""","San Diego Botanic Garden","""Gardens , Nature & Parks""","The SD Botanical Garden has a wonderful set of gardens including two separate children's gardens. This is a great place to spend some outdoor time with the whole family. You can... read more","3","361","+1 760-436-3036","Encinitas","""230 Quail Gardens Dr , Encinitas , CA 92024-2707""","92024","","","https://www.tripadvisor.com/Attraction_Review-g32355-d610405-Reviews-San_Diego_Botanic_Garden-Encinitas_California.html","encinitas.json","""9r4p-c8iX3U,tL1qRCBsHFQ,9G0Gf0ECqFo""","100"
"promenade mall","service","1","""Promenade Mall, Warner Center, LA, Los Angeles County, California, 91365, United States of America""","91365","-118.6015755","34.1811273","1","stockton_and_temecula.json","Promenade Mall","","It's almost like being back east! This is by far one of the nicest malls in SoCal and is a great escape from the outdoor summer heat. At the women's Macy's end of the mall... read more","40","14","951-296-0975","Temecula","""40820 Winchester Rd , Temecula , CA 92591""","40820","-117.158885194639","33.5255333213751","https://www.tripadvisor.com/Attraction_Review-g33165-d4701257-Reviews-Promenade_Mall-Temecula_California.html","temecula.json","""q-_hs5wJm-E,TDXqeOXV7Jg,w2TuGXElekU""","100"
"silverwood lake state recreation area","park","1","""Silverwood Lake State Recreation Area, PCT - Section C, Cedarpines Park, San Bernardino County, California, 92407, United States of America""","92407","-117.3283786","34.2911157","1","bakersfield_and_san bernardino.json","Silverwood Lake State Recreation Area","","We just came here for the scenery and it was ok. I'm slowly adjusting my CA expectations compared to Midwest lakes. This is the highest altitude reservoir in CA so the temperature... read more","1","54","+1 760-389-2303","Hesperia","""14651 Cedar Cir , Hesperia , CA 92345-9480""","14651","","","https://www.tripadvisor.com/Attraction_Review-g32491-d646406-Reviews-Silverwood_Lake_State_Recreation_Area-Hesperia_California.html","hesperia.json","""JUuQ7tchOsQ,Y4OnfvJqZTo,7Y5vBhtrGGA""","100"
"san clemente state beach","beach","1","""San Clemente State Beach, Avenida Calafia, San Clemente, Orange County, California, 92672, United States of America""","92672","-117.601669898625","33.40386765","3","""avalon_and_big bear lake.json,avalon_and_malibu.json,big bear lake_and_long beach.json""","San Clemente State Beach","""Beaches , Outdoor Activities , Nature & Parks""","""We've been going to this beach for the last five years when we discovered it. It is clean, parking is close and inexpensive, free after 5pm. It's close to the pier. It's not a... read more""","3","246","+1 949-492-3156","San Clemente","""I-5 (Basilone Road) , San Clemente , CA 92672""","92672","","","https://www.tripadvisor.com/Attraction_Review-g33012-d647320-Reviews-San_Clemente_State_Beach-San_Clemente_California.html","san_clemente.json","""Z-ZSxM7fTXM,dDjGn8IU_pw,8duHKBQrhC4""","100"
"berkeley marina","neighbourhood","11","""Berkeley Marina, Berkeley, Alameda County, California, 94710, United States of America""","94710","-122.3130527","37.8678664","13","""berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,berkeley_and_santa barbara.json,berkeley_and_santa monica.json,berkeley_and_stockton.json,berkeley_and_big bear lake.json,berkeley_and_fremont.json,berkeley_and_huntington beach.json,fremont_and_oakland.json,oakland_and_san jose.json""","Berkeley Marina","""Neighborhoods , Marinas , Sights & Landmarks , Nature & Parks , Other""","""The Cal Sailing club is one of the best deals in the Bay Area. Only about $100 for 3 months, unlimited rentals and lessons, all included in the price. Great views of the bay... read more""","4","195","+1 510-981-6740","Berkeley","""201 University Ave , Berkeley , CA 94710-1618""","94710","","","https://www.tripadvisor.com/Attraction_Review-g32066-d146942-Reviews-Berkeley_Marina-Berkeley_California.html","berkeley.json","""ad9U7aLG5GM,ZusV49hX61E,dx7RJfvty3k""","100"
"la jolla underwater park","park","1","""San Diego-La Jolla Underwater Park, La Jolla Shores Lane, La Jolla, San Diego, San Diego County, California, 92037, United States of America""","92037","-117.2528144","32.874769","8","""beverly hills_and_pismo beach.json,carlsbad_and_santa barbara.json,monterey_and_san diego.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,san bernardino_and_santa barbara.json,san luis obispo_and_santa clarita.json""","La Jolla Underwater Park","","The surf at this location varies and its rocky shoreline should be approached with caution. This location boasts most of the typical local sea life attractions and is a good spot... read more","37","13","(619) 525-8213","La Jolla","""La Jolla , San Diego , CA 92037""","92037","-117.231087488328","32.87801565","https://www.tripadvisor.com/Attraction_Review-g32578-d9713537-Reviews-La_Jolla_Underwater_Park-La_Jolla_San_Diego_California.html","la_jolla.json","""P8RTW1vtiOE,z4UpCJc_TUM,oD9tMfW2q7k""","100"
"tilden regional park","park","4","""Tilden Regional Park, 2501, Grizzly Peak Boulevard, Berkeley Hills, Berkeley, Alameda County, California, 94563, United States of America""","94563","-122.250104067583","37.89983435","4","""avalon_and_berkeley.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json""","Tilden Regional Park","Nature & Parks","""Living in the gorgeous Smoky Mountains beautiful views are something I am accustomed to and when I travel it is hard to find a view that competes, but Tilden Regional Park... read more""","1","376","+1 510-562-7275","Berkeley","""entrances at Wildcat Canyon Rd & Grizzly Peak Blvd , Berkeley , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32066-d156328-Reviews-Tilden_Regional_Park-Berkeley_California.html","berkeley.json","""o3pggcmLipI,Exh393yVPwo,Jl-ITPhuNIU""","100"
"mount wilson observatory","observatory","1","""Mount Wilson Observatory, Mount Wilson, Los Angeles County, California, 91023, United States of America""","91023","-118.05755765126","34.22390655","9","""anaheim_and_beverly hills.json,avalon_and_beverly hills.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_stockton.json,pasadena_and_san francisco.json""","Mount Wilson Observatory","","Located on a mountain top . Great View of Los Angeles. Very good exhibits about the solar system and other celestial objects.Found it most educative. Was a very nice learning... read more","2","42","","La Canada Flintridge","""Mt. Wilson Road , La Canada Flintridge , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32573-d109797-Reviews-Mount_Wilson_Observatory-La_Canada_Flintridge_California.html","la_canada_flintridge.json","""onFxe5Azfdw,-sNb3itH4P4,iVrD7JbzXfo""","100"
"painted canyon","residential","1","""Painted Canyon Road, Riverside County, California, 92251, United States of America""","92251","-116.0142047","33.5885197","1","berkeley_and_long beach.json","Painted Canyon","""Canyons , Nature & Parks""","""It is at first hard to believe that such a place exists in the seemingly barren desert. But lo and behold, a few miles off the the road is a gorgeous hike. There are actually... read more""","17","108","","Palm Springs","""Palm Springs , CA""","","-116.5403029","33.8246269","https://www.tripadvisor.com/Attraction_Review-g32847-d144625-Reviews-Painted_Canyon-Palm_Springs_California.html","palm_springs.json","""mk-15eeRFmg,NVSG9Vb2EIs,Uwni8JU0wJg""","100"
"western america railroad museum","museum","1","""Western America Railroad Museum, 685, North 1st Avenue, Barstow, San Bernardino County, California, 92311, United States of America""","92311","-117.0245658","34.9046998","4","""avalon_and_san bernardino.json,bakersfield_and_san bernardino.json,fremont_and_san bernardino.json,san bernardino_and_stockton.json""","Western America Railroad Museum","""Specialty Museums , Museums""","The Western America Railroad Museum is a very small museum but pleasant and well intentioned. It's too small to be worth a special trip unless you are in Barstow. It's located by... read more","5","71","+1 760-256-9276","Barstow","""685 N 1st Ave , Barstow , CA 92311-2201""","92311","","","https://www.tripadvisor.com/Attraction_Review-g60902-d2624490-Reviews-Western_America_Railroad_Museum-Barstow_California.html","barstow.json","""8r74Dx10KjU,8RDr8v7Qe44,1DDV31pyrsw""","100"
"mission trails regional park","park","1","""Mission Trails Regional Park, Lake Shore Drive, San Diego, San Diego County, California, 91942:92119, United States of America""","91942","-117.0366957","32.7958834","17","""anaheim_and_carlsbad.json,anaheim_and_san francisco.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,avalon_and_temecula.json,beverly hills_and_temecula.json,carlsbad_and_long beach.json,carlsbad_and_riverside.json,carlsbad_and_san bernardino.json,carlsbad_and_los angeles.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san francisco_and_temecula.json,san jose_and_temecula.json""","Mission Trails Regional Park","Nature & Parks","In the area for some vacation time and was looking for a place to get some exercise outside. The area has a nice nature center with some displays in good shape. There are a... read more","93","117","+1 619-668-3281","San Diego","""1 Father Junipero Serra Trl , San Diego , CA 92119-1008""","92119","","","https://www.tripadvisor.com/Attraction_Review-g60750-d534495-Reviews-Mission_Trails_Regional_Park-San_Diego_California.html","san_diego.json","""pBuoq7O-obQ,ZAG9wx84-MM,_fuN9p_pGR0""","100"
