mention_name,mention_type,mention_popularity,mention_address,no_of_blogFiles,mention_found_in_blogFiles
los angeles los angeles,city,1,"LA, Los Angeles County, California, United States of America",1,big bear lake_and_fresno.json
monterey park route,city,1,"Monterey Park, Los Angeles County, California, United States of America",1,carlsbad_and_monterey.json
hawthorne,city,1,"Hawthorne, Los Angeles County, California, United States of America",6,"bakersfield_and_mammoth lakes.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json"
rosemead,city,2,"Rosemead, Los Angeles County, California, United States of America",10,"berkeley_and_long beach.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_pasadena.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,beverly hills_and_pasadena.json,pasadena_and_santa monica.json,riverside_and_santa monica.json,san bernardino_and_santa monica.json"
highland,city,8,"Highland, San Bernardino County, California, United States of America",15,"beverly hills_and_carlsbad.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_stockton.json,big bear lake_and_long beach.json,big bear lake_and_santa ana.json,huntington beach_and_oakland.json,big bear lake_and_san bernardino.json,pasadena_and_san francisco.json,riverside_and_san bernardino.json,san bernardino_and_santa monica.json,san bernardino_and_temecula.json,stockton_and_temecula.json"
clearlake,city,1,"Clearlake, Lake County, California, United States of America",3,"fresno_and_stockton.json,oakland_and_san bernardino.json,san bernardino_and_stockton.json"
santa clara valley,city,1,"Santa Clara, Santa Clara County, California, United States of America",1,san jose_and_santa cruz.json
isleton,city,3,"Isleton, Sacramento County, California, United States of America",7,"berkeley_and_sacramento.json,berkeley_and_stockton.json,fremont_and_sacramento.json,oakland_and_sacramento.json,oakland_and_stockton.json,riverside_and_sacramento.json,san jose_and_stockton.json"
el centro,city,3,"El Centro, Imperial County, California, United States of America",5,"big bear lake_and_santa barbara.json,pasadena_and_san diego.json,san francisco_and_santa barbara.json,san luis obispo_and_santa ana.json,sausalito_and_temecula.json"
anaheim ca usa,city,1,"Anaheim, Orange County, California, United States of America",1,anaheim_and_avalon.json
pismo bch,city,1,"Pismo Beach, San Luis Obispo County, California, United States of America",1,anaheim_and_pismo beach.json
los angeles route,city,1,"LA, Los Angeles County, California, United States of America",1,berkeley_and_pasadena.json
brentwood,city,13,"Brentwood, Contra Costa County, California, United States of America",24,"berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_fremont.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_sacramento.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,fremont_and_santa monica.json,fremont_and_stockton.json,fresno_and_huntington beach.json,malibu_and_napa.json,malibu_and_san francisco.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_stockton.json,malibu_and_monterey.json,newport beach_and_san francisco.json,oakland_and_sacramento.json,oakland_and_san jose.json,san diego_and_sausalito.json,san francisco_and_santa clarita.json,san jose_and_stockton.json"
palm springs,city,80,"Palm Springs, Riverside County, California, United States of America",207,"anaheim_and_berkeley.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_sacramento.json,anaheim_and_san jose.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,avalon_and_mammoth lakes.json,avalon_and_napa.json,avalon_and_oakland.json,avalon_and_san bernardino.json,avalon_and_malibu.json,bakersfield_and_san bernardino.json,beverly hills_and_pismo beach.json,beverly hills_and_sausalito.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_big bear lake.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_sacramento.json,bakersfield_and_san diego.json,bakersfield_and_santa cruz.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_newport beach.json,berkeley_and_riverside.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,beverly hills_and_fresno.json,beverly hills_and_monterey.json,beverly hills_and_napa.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa cruz.json,beverly hills_and_temecula.json,big bear lake_and_fremont.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_malibu.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_pismo beach.json,big bear lake_and_san diego.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san bernardino.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,carlsbad_and_santa monica.json,carlsbad_and_stockton.json,fremont_and_long beach.json,fremont_and_santa barbara.json,fremont_and_temecula.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,fresno_and_santa monica.json,fresno_and_temecula.json,huntington beach_and_napa.json,huntington beach_and_sacramento.json,huntington beach_and_san bernardino.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_sausalito.json,irvine_and_malibu.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_sausalito.json,carlsbad_and_los angeles.json,fresno_and_riverside.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_san bernardino.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_mammoth lakes.json,los angeles_and_napa.json,los angeles_and_pismo beach.json,los angeles_and_san bernardino.json,los angeles_and_san diego.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,los angeles_and_temecula.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_riverside.json,malibu_and_san francisco.json,malibu_and_santa barbara.json,malibu_and_sausalito.json,mammoth lakes_and_riverside.json,mammoth lakes_and_santa ana.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_santa barbara.json,monterey_and_temecula.json,napa_and_newport beach.json,long beach_and_santa barbara.json,malibu_and_santa clarita.json,monterey_and_newport beach.json,monterey_and_santa monica.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,oakland_and_pasadena.json,oakland_and_san bernardino.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_sacramento.json,pasadena_and_sausalito.json,pasadena_and_temecula.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,pismo beach_and_santa monica.json,pismo beach_and_temecula.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_santa clarita.json,riverside_and_santa monica.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san diego.json,san bernardino_and_san jose.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san bernardino_and_sausalito.json,san bernardino_and_temecula.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa clarita.json,san diego_and_temecula.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_temecula.json,san luis obispo_and_santa clarita.json,san luis obispo_and_temecula.json,santa barbara_and_santa cruz.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_temecula.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
santa clara,city,36,"Santa Clara, Santa Clara County, California, United States of America",147,"anaheim_and_fresno.json,anaheim_and_san jose.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,avalon_and_berkeley.json,berkeley_and_san jose.json,avalon_and_sausalito.json,bakersfield_and_berkeley.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,berkeley_and_sacramento.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa monica.json,berkeley_and_stockton.json,berkeley_and_fremont.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_oakland.json,carlsbad_and_sacramento.json,carlsbad_and_stockton.json,fremont_and_fresno.json,fremont_and_los angeles.json,fremont_and_monterey.json,fremont_and_oakland.json,fremont_and_sacramento.json,fremont_and_san bernardino.json,fremont_and_san diego.json,fremont_and_san francisco.json,fremont_and_san jose.json,fremont_and_santa clarita.json,fremont_and_santa cruz.json,fremont_and_santa monica.json,fremont_and_sausalito.json,fremont_and_stockton.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_los angeles.json,fresno_and_monterey.json,fresno_and_oakland.json,fresno_and_sacramento.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_san jose.json,fresno_and_santa barbara.json,fresno_and_santa clarita.json,fresno_and_santa cruz.json,fresno_and_stockton.json,huntington beach_and_sacramento.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_san luis obispo.json,irvine_and_sausalito.json,fresno_and_riverside.json,long beach_and_oakland.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_stockton.json,los angeles_and_san jose.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,monterey_and_riverside.json,monterey_and_sacramento.json,monterey_and_san bernardino.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_santa cruz.json,monterey_and_stockton.json,napa_and_santa barbara.json,napa_and_santa monica.json,los angeles_and_santa cruz.json,mammoth lakes_and_sausalito.json,monterey_and_santa monica.json,newport beach_and_santa cruz.json,oakland_and_sacramento.json,oakland_and_san bernardino.json,oakland_and_san jose.json,oakland_and_san luis obispo.json,oakland_and_santa clarita.json,oakland_and_santa cruz.json,oakland_and_stockton.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_san jose.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san jose.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa cruz.json,san bernardino_and_san jose.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa cruz.json,san bernardino_and_sausalito.json,san diego_and_san luis obispo.json,san diego_and_santa cruz.json,san diego_and_stockton.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_stockton.json,san francisco_and_temecula.json,san jose_and_san luis obispo.json,san jose_and_santa clarita.json,san jose_and_santa cruz.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,sacramento_and_san francisco.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,irvine_and_stockton.json,san jose_and_stockton.json,san luis obispo_and_sausalito.json,san luis obispo_and_stockton.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa cruz_and_stockton.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,sausalito_and_stockton.json,stockton_and_temecula.json"
