attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Maiden Lane,,"We visited this spot as part of a Hitchcock tour (yes, this area was filmed in one of his movies. It was also known as the ""red light district"" many years ago with more than 1200... read more",283,16,,San Francisco,"Between Stockton and Kearny Streets , Union Square , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d311689-Reviews-Maiden_Lane-San_Francisco_California.html,san_francisco.json
Lotta's Fountain,,"We took the hop on / off bus and we heard about the importance of this statue but we didn’t get off. We learned it had withstood fires, earthquakes and still remains today thus it... read more",248,15,,San Francisco,"Coner of Geary-Market and Kearny Streets , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d4440156-Reviews-Lotta_s_Fountain-San_Francisco_California.html,san_francisco.json
St. Mary's Square,,"Across from the church is a park, this park. Adjacent to this park is the square where the locals gather and spend their time to pass time and entertain themselves. They are... read more",271,9,,San Francisco,"651 California St , Between Kearny Street and Quincy Street Chinatown , San Francisco , CA 94108-2506",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8733848-Reviews-St_Mary_s_Square-San_Francisco_California.html,san_francisco.json
Wells Fargo History Museum,"Neighborhood: Financial District History Museums , Specialty Museums , Museums",I happened by this place after hours one night and made a point to return. I was not disappointed. So many interesting things to see and very educational. You can sit in a mock up... read more,87,114,+1 415-396-2619,San Francisco,"420 Montgomery St , San Francisco , CA 94104-1207",,,https://www.tripadvisor.com/Attraction_Review-g60713-d145245-Reviews-Wells_Fargo_History_Museum-San_Francisco_California.html,san_francisco.json
Corona Heights,,"Wow! This unassuming little hill is just the best place to see the city. To be fair, there is a gentle hike to the top, but the mild effort needed is certainly worth for the... read more",158,26,+1 415-831-2750,San Francisco,"Roosevelt Way and Castro Street , San Francisco , CA 94114",,,https://www.tripadvisor.com/Attraction_Review-g60713-d265129-Reviews-Corona_Heights-San_Francisco_California.html,san_francisco.json
Vermont Street,,Lombard gets all the attention and with the flowers and brick it is much prettier . However Vermont is great since you don't have to deal with bumper to bumper traffic or... read more,233,13,,San Francisco,"Between 20th Street and 22nd Street , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d546392-Reviews-Vermont_Street-San_Francisco_California.html,san_francisco.json
Victoria Theatre,,"We saw an awesome production of Little Shop of Horrors in this old restored theater last Saturday. Yes, this theater is in the Mission District and you might see some unsavory... read more",282,7,+1 415-863-7576,San Francisco,"2961 16th St , San Francisco , CA 94103-3633",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3946891-Reviews-Victoria_Theatre-San_Francisco_California.html,san_francisco.json
The Castro,"Neighborhood: The Castro Neighborhoods , Other, Sights & Landmarks ","An outdoor museum of gayness safe enough for heterosexuals and cis people to explore. The restaurants are not that great, but the bars serve stiff drinks and men too. An important... read more",52,622,+1 415-391-2000,San Francisco,"Castro and Market Sts. is the heart of the Castro , San Francisco , CA 94114",,,https://www.tripadvisor.com/Attraction_Review-g60713-d183745-Reviews-The_Castro-San_Francisco_California.html,san_francisco.json
Hendric Point,,"This place has a great view for photography. However, it can get quite windy and cool up there even during the summer months.",235,16,,San Francisco,"San Francisco , CA",-122.4629896,37.7647993,https://www.tripadvisor.com/Attraction_Review-g60713-d2440554-Reviews-Hendric_Point-San_Francisco_California.html,san_francisco.json
450 Sutter Building,,This is one Art Deco building that is best appreciated from inside. The Mayan-themed lobby with its marble walls and bronze ceiling is as intricate and as beautiful as any I have... read more,288,6,+1 415-434-6317,San Francisco,"450 Sutter St , San Francisco , CA 94108-4206",,,https://www.tripadvisor.com/Attraction_Review-g60713-d143321-Reviews-450_Sutter_Building-San_Francisco_California.html,san_francisco.json
Crocker Galleria,,"The Crocker Galleria is closed on the weekends. But on weekdays, it's great place for shopping and eating out. There are a number of eateries to choose from. For some yummy... read more",266,16,+1 415-393-1505,San Francisco,"50 Post St , b/t Lick Pl & Kearny St, Financial District , San Francisco , CA 94104-4546",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156349-Reviews-Crocker_Galleria-San_Francisco_California.html,san_francisco.json
Julius Kahn Playground,,Great place to meet locals in SF. There is also free parking on W. Pacific. There is always something fun happening in the park. There are also great views of the GG Bridge.,317,4,,San Francisco,"West Pacific Avenue & Maple , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3348859-Reviews-Julius_Kahn_Playground-San_Francisco_California.html,san_francisco.json
Embarcadero Center,,"There are shopping outlets, eateries and The Coffee Bean and Tea Leaf! Check out the movie theatres if you are interested. It provides an alternative from Ferry Buildling and the... read more",149,63,415 772 0700; 800 733 6318,San Francisco,"Embarcadero at Battery , Financial District , San Francisco , CA 94111",,,https://www.tripadvisor.com/Attraction_Review-g60713-d103853-Reviews-Embarcadero_Center-San_Francisco_California.html,san_francisco.json
Harvey Milk Plaza,,"The Harvey Milk Plaza is located at Market & Castro and also happens to be at the entrance to the MUNI underground. This is where the Castro Street begins. Look at the HUGE, I... read more",272,15,,San Francisco,"Southwest corner of Castro and Market Streets , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d311685-Reviews-Harvey_Milk_Plaza-San_Francisco_California.html,san_francisco.json
SF Armory,,"What an awesome tour. Who would have thought that you'd get a history lesson along with a porn tour? If you're offended by anything sexual, don't go. However, the tour included... read more",192,28,,San Francisco,"1800 Mission St , San Francisco , CA 94103-3502",,,https://www.tripadvisor.com/Attraction_Review-g60713-d3478684-Reviews-SF_Armory-San_Francisco_California.html,san_francisco.json
Randall Museum,,"First visit. Large model train lay out, 100 local animals who can't be put out in the wild, Appeared to be lots of classes available for locals.",340,7,+1 415-554-9600,San Francisco,"199 Museum Way , San Francisco , CA 94114-1499",,,https://www.tripadvisor.com/Attraction_Review-g60713-d557300-Reviews-Randall_Museum-San_Francisco_California.html,san_francisco.json
The Promenade,,Enjoy the beautiful views from the Promenade as you walk away from the hustle and bustle of the City. Not as crowded as the streets and sidewalks.,281,7,,San Francisco,"San Francisco , CA",-122.4629896,37.7647993,https://www.tripadvisor.com/Attraction_Review-g60713-d142456-Reviews-The_Promenade-San_Francisco_California.html,san_francisco.json
Lafayette Park,,Came upon this par unexpectantly and was glad I did! There are wonderful views of the bay and the city. You'll also find a wonderful playground for the kiddos and a dog park for... read more,170,23,,San Francisco,"Washington, Sacramento, Gough and Laguna Streets , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d545906-Reviews-Lafayette_Park-San_Francisco_California.html,san_francisco.json
Haas - Lilienthal House,,"There are some exceptional features in this well-preserved classic Victorian. But the highlight was our well-informed and charming docent who put the family, the location, and... read more",150,59,+1 415-441-3004,San Francisco,"2007 Franklin St , Pacific Heights , San Francisco , CA 94109-2909",,,https://www.tripadvisor.com/Attraction_Review-g60713-d127938-Reviews-Haas_Lilienthal_House-San_Francisco_California.html,san_francisco.json
Gordon Parks Centennial,"“ The best photography exhibit in SF (by far) ” Reviewed April 20, 2013 If you like top quality images, cropped and printed to perfection, AND would like to see work that vividly communicates.....the Gordon Parks Centennial should not be missed. The images are a selected group of 92 from the rural south, and the civil rights era. If you have a choice between the Winnogrand exhibit at SFMOMA, do not hesitate to opt... More Helpful? Thank jarjar8271 Report",,396,,,San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g60713-d4101955-Reviews-Gordon_Parks_Centennial-San_Francisco_California.html,san_francisco.json
Laurel Village Shopping Center,,"Laurel Village is a standard for the locals who live in this area. Roughly, the stores are: Food: Bryan's and Cal-Mart, both grocery stores with a spectacular array of produce... read more",322,6,,San Francisco,"California St. , San Francisco , CA",-122.3965522,37.7936491,https://www.tripadvisor.com/Attraction_Review-g60713-d209301-Reviews-Laurel_Village_Shopping_Center-San_Francisco_California.html,san_francisco.json
Embarcadero Center Cinema,,"Mostly indie films, definitely not your usual movie choices, multiple small theaters and fabulous leather recliners, full bar (you can bring your drinks into the theater), you can... read more",246,8,(415) 352-0835,San Francisco,"1 Embarcadero Ctr Center PROMENADE Level , San Francisco , CA 94111-3628",,,https://www.tripadvisor.com/Attraction_Review-g60713-d8028434-Reviews-Embarcadero_Center_Cinema-San_Francisco_California.html,san_francisco.json
Autodesk Gallery,,"Walking around San Francisco we spotted a sign in the window advertising the Autodesk Gallery, and being a tourist, and a bit curious, I managed to convince a couple of the kids... read more",187,17,,San Francisco,"1 Market St , Floor 2 , San Francisco , CA 94105-1420",,,https://www.tripadvisor.com/Attraction_Review-g60713-d4982827-Reviews-Autodesk_Gallery-San_Francisco_California.html,san_francisco.json
Battery Boutelle,,This is the best location to photography the bridge!! At sunset is blows your mind. It is a rather intense hike to get down to the location - lots of steps. If you are not in... read more,289,6,,San Francisco,"Merchant Rd , San Francisco , CA 94129",-122.4761669,37.8052635,https://www.tripadvisor.com/Attraction_Review-g60713-d6898780-Reviews-Battery_Boutelle-San_Francisco_California.html,san_francisco.json
Spreckels Mansion,"“ ALMA SPREKLES STATUE SPRINKLED SUGAR ON UNION SQUARE BEFORE SHE MOVED TO THE SPRECKLES MANSION ” Reviewed July 6, 2015 If you visit San Francisco you are not likely to miss Union Square. The location is at the center of one of the world’s most glamourous shopping areas. But when I bring visitors to the square I like to supplement their experience with the story of the lady who posed for the figure at the apex of the Dewey Monument... More Helpful? 3 Thank carol p Report",,391,,,San Francisco,,,,https://www.tripadvisor.com/Attraction_Review-g60713-d8405701-Reviews-Spreckels_Mansion-San_Francisco_California.html,san_francisco.json
The Mechanics Monument,,"When I lived in the city, I walked by this monument almost daily and it was not until I moved from the city and came back to visit that I took the time to stop, read the... read more",303,8,,San Francisco,"Corner of Market, Bush and Battery Streets , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d144425-Reviews-The_Mechanics_Monument-San_Francisco_California.html,san_francisco.json
Lyon Street Steps,,We went here as we were looking for a house in the Pacific heights area. Glad we came across here as the views were stunning. Although the steps are hard work it's worth it when... read more,161,26,,San Francisco,"Lyon St. at Green St. , Pacific Heights , San Francisco , CA",,,https://www.tripadvisor.com/Attraction_Review-g60713-d156554-Reviews-Lyon_Street_Steps-San_Francisco_California.html,san_francisco.json
